UNITID,NPT4_PUB,NPT4_PRIV
100654,15184,NULL
100663,17535,NULL
100690,NULL,9649
100706,19986,NULL
100724,12874,NULL
100751,21973,NULL
100760,5239,NULL
100812,NULL,NULL
100830,15310,NULL
100858,23416,NULL
100937,NULL,22893
101028,769,NULL
101073,NULL,22453
101116,NULL,20811
101143,4270,NULL
101161,7430,NULL
101189,NULL,23562
101240,3794,NULL
101277,NULL,9415
101286,2664,NULL
101295,6652,NULL
101301,8241,NULL
101365,NULL,24520
101435,NULL,19596
101453,NULL,NULL
101462,5538,NULL
101471,2659,NULL
101480,18074,NULL
101499,5084,NULL
101505,9003,NULL
101514,5401,NULL
101541,NULL,16872
101569,8284,NULL
101587,13512,NULL
101602,7941,NULL
101648,11671,NULL
101675,NULL,15867
101693,NULL,19125
101709,17020,NULL
101736,6179,NULL
101879,12754,NULL
101897,2874,NULL
101912,NULL,25539
101949,3784,NULL
101994,3357,NULL
102030,5071,NULL
102049,NULL,29032
102058,NULL,12237
102067,6243,NULL
102076,5094,NULL
102094,15082,NULL
102234,NULL,21275
102270,NULL,13884
102298,NULL,15281
102313,6937,NULL
102368,13349,NULL
102377,NULL,32907
102395,NULL,NULL
102429,7873,NULL
102553,13378,NULL
102580,NULL,14995
102614,9988,NULL
102632,10643,NULL
102669,NULL,18518
102711,9487,NULL
102845,NULL,30904
103501,NULL,19395
103741,NULL,13130
103778,NULL,NULL
103811,NULL,16629
103893,NULL,19154
103909,NULL,19070
103927,NULL,18850
103945,NULL,27265
103954,NULL,11078
103963,NULL,28928
104090,NULL,29368
104151,11163,NULL
104160,9644,NULL
104179,14821,NULL
104188,NULL,27145
104346,5409,NULL
104364,NULL,NULL
104391,NULL,10391
104425,5768,NULL
104434,NULL,11968
104443,NULL,12153
104504,NULL,21068
104568,NULL,13682
104577,7755,NULL
104586,NULL,32898
104665,NULL,NULL
104708,6965,NULL
104717,NULL,20570
105145,8245,NULL
105154,8020,NULL
105206,8037,NULL
105215,NULL,18011
105297,8248,NULL
105330,14789,NULL
105349,7692,NULL
105367,NULL,NULL
105428,7184,NULL
105482,NULL,18714
105525,4608,NULL
105534,NULL,21859
105543,NULL,18352
105589,NULL,20968
105659,NULL,23058
